model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
ensemble_model_v2_N32_B134_E166_nb_zones_8_low_bits_3_svdne,32,134,166,8, low_bits_3, svdne,446,148,148,0,0,0,0.73520202020202,0.709459459459459,0.689189189189189,0.831536388140162,0.918552036199095,0.910313901345291,0.919282511210762,0.699300699300699,0.714285714285714,0.70970695970696,0.693333333333333,0.68421052631579,0.689327485380117,0.829931972789116,0.826558265582656,0.831509695794009
ensemble_model_v2_N32_B168_E200_nb_zones_10_low_bits_5_svdne,32,168,200,10, low_bits_5, svdne,590,196,196,0,0,0,0.722033898305085,0.653061224489796,0.680272108843537,0.850678733031674,0.9419795221843,0.935593220338983,0.942372881355932,0.694610778443114,0.734177215189873,0.646500372300819,0.700636942675159,0.808823529411765,0.689221891288161,0.854945054945055,0.880090497737556,0.850678733031674
ensemble_model_v2_N16_B142_E158_nb_zones_8_low_bits_6_svdne,16,142,158,8, low_bits_6, svdne,414,138,138,0,0,0,0.765679442508711,0.797101449275362,0.688405797101449,0.844927536231884,0.912195121951219,0.903381642512077,0.91304347826087,0.794117647058823,0.76056338028169,0.798192137902039,0.690647482014388,0.716417910447761,0.689194870716838,0.843795620437956,0.83768115942029,0.844927536231884
ensemble_model_N26_B137_E163_nb_zones_4_low_bits_4_svd,26,137,163,4, low_bits_4, svd,224,74,74,0,0,0,0.705138339920949,0.648648648648649,0.689189189189189,0.846774193548387,0.963636363636364,0.946428571428571,0.964285714285714,0.580645161290323,0.580645161290323,0.639159789947487,0.634920634920635,0.540540540540541,0.689189189189189,0.834782608695652,0.8,0.8453125
ensemble_model_v2_N8_B146_E154_nb_zones_4_lab_svdne,8,146,154,4, lab, svdne,224,74,74,0,0,0,0.772529644268775,0.783783783783784,0.689189189189189,0.838709677419355,0.904109589041096,0.883928571428571,0.90625,0.764705882352941,0.787878787878788,0.784183296378418,0.684931506849315,0.675675675675676,0.689189189189189,0.833333333333333,0.824175824175824,0.838403701561596
svm_model_N4_B196_E200_nb_zones_4_low_bits_4_svdne,4,196,200,4, low_bits_4, svdne,222,74,74,0,0,0,0.725691699604743,0.635135135135135,0.689189189189189,0.7,0.690355329949238,0.612612612612613,0.725225225225225,0.608695652173913,0.552631578947368,0.637426900584795,0.646153846153846,0.567567567567568,0.689189189189189,0.664652567975831,0.591397849462366,0.700590229079009
svm_model_N40_B130_E170_nb_zones_8_low_bits_3_svdne,40,130,170,8, low_bits_3, svdne,446,148,148,0,0,0,0.71969696969697,0.709459459459459,0.689189189189189,0.737196765498652,0.760180995475113,0.753363228699552,0.762331838565022,0.67175572519084,0.602739726027397,0.708036529680365,0.646153846153846,0.567567567567568,0.689189189189189,0.722617354196302,0.686486486486486,0.737060447544318
ensemble_model_v2_N4_B148_E152_nb_zones_10_low_bits_3_svd,4,148,152,10, low_bits_3, svd,548,182,182,0,0,0,0.673265993265993,0.720238095238095,0.69047619047619,0.804298642533937,0.864963503649635,0.864963503649635,0.864963503649635,0.715151515151515,0.719512195121951,0.720221213840045,0.711111111111111,0.744186046511628,0.689166193987521,0.806270996640538,0.81447963800905,0.804298642533937
svm_model_N26_B174_E200_nb_zones_4_low_bits_4_svdne,26,174,200,4, low_bits_4, svdne,224,74,74,0,0,0,0.681818181818182,0.648648648648649,0.689189189189189,0.725806451612903,0.757990867579909,0.741071428571429,0.763392857142857,0.59375,0.575757575757576,0.641537324464154,0.701298701298701,0.692307692307692,0.689010989010989,0.716666666666667,0.701086956521739,0.72554347826087
svm_model_N16_B142_E158_nb_zones_12_low_bits_3_svd,16,142,158,12, low_bits_3, svd,666,222,222,0,0,0,0.744911804613297,0.724770642201835,0.688073394495413,0.739819004524887,0.753709198813056,0.762762762762763,0.750750750750751,0.745762711864407,0.745762711864407,0.722881355932203,0.673076923076923,0.7,0.688983050847457,0.743303571428571,0.753393665158371,0.739819004524887
ensemble_model_v2_N4_B98_E102_nb_zones_10_lab_svdne,4,98,102,10, lab, svdne,544,181,181,0,0,0,0.803198653198653,0.729411764705882,0.682352941176471,0.834841628959276,0.917266187050359,0.9375,0.915441176470588,0.776699029126214,0.869565217391304,0.716833890746934,0.689655172413793,0.769230769230769,0.688963210702341,0.844017094017094,0.893665158371041,0.834841628959276
svm_model_N40_B80_E120_nb_zones_12_low_bits_4_shifted_2_svdne,40,80,120,12, low_bits_4_shifted_2, svdne,656,218,218,0,0,0,0.824848484848485,0.640350877192982,0.692982456140351,0.815610859728507,0.865116279069767,0.850609756097561,0.867378048780488,0.643478260869565,0.685185185185185,0.642592592592593,0.724409448818898,0.766666666666667,0.688888888888889,0.816234498308906,0.819004524886878,0.815610859728507
ensemble_model_v2_N8_B46_E54_nb_zones_8_low_bits_3_svd,8,46,54,8, low_bits_3, svd,474,158,158,0,0,0,0.755230496453901,0.689873417721519,0.689873417721519,0.792405063291139,0.860759493670886,0.860759493670886,0.860759493670886,0.683870967741935,0.706666666666667,0.690682730923695,0.706586826347305,0.728395061728395,0.688872855539522,0.793969849246231,0.804071246819338,0.792463834996571
svm_model_N26_B0_E26_nb_zones_4_low_bits_3_svd,26,0,26,4, low_bits_3, svd,228,76,76,0,0,0,0.925296442687747,0.513157894736842,0.723684210526316,0.847368421052631,1,1,1,0.593406593406593,0.870967741935484,0.568817204301075,0.796116504854369,0.953488372093023,0.688865398167724,0.862559241706161,0.968085106382979,0.848625886524823
ensemble_model_N32_B134_E166_nb_zones_12_low_bits_2_svdne,32,134,166,12, low_bits_2, svdne,648,216,216,0,0,0,0.734423076923077,0.703389830508475,0.694915254237288,0.835972850678733,0.887537993920973,0.901234567901235,0.885802469135802,0.732824427480916,0.842105263157895,0.707937877480587,0.746478873239437,0.868852459016393,0.688812194420477,0.844253490870032,0.889140271493213,0.835972850678733
svm_model_N16_B184_E200_nb_zones_6_low_bits_6_svd,16,184,200,6, low_bits_6, svd,290,96,96,0,0,0,0.717241379310345,0.802083333333333,0.6875,0.732365145228216,0.708029197080292,0.668965517241379,0.724137931034483,0.795698924731183,0.755102040816326,0.80308293530178,0.7,0.673076923076923,0.688811188811189,0.723768736616702,0.686991869918699,0.733326443433926
ensemble_model_v2_N40_B0_E40_nb_zones_4_low_bits_3_svdne,40,0,40,4, low_bits_3, svdne,216,72,72,0,0,0,0.935714285714286,0.694444444444444,0.694444444444444,0.877777777777778,1,1,1,0.738095238095238,0.939393939393939,0.713286713286713,0.75,0.891891891891892,0.688803088803089,0.88659793814433,0.966292134831461,0.878750463020126
ensemble_model_v2_N16_B0_E16_nb_zones_8_low_bits_4_svd,16,0,16,8, low_bits_4, svd,436,145,145,0,0,0,0.917441860465116,0.6,0.675862068965517,0.852617079889807,0.995433789954338,1,0.995412844036697,0.704081632653061,0.884615384615385,0.576636050516647,0.737430167597765,0.956521739130435,0.688787185354691,0.868388683886839,0.967123287671233,0.851982696467196
ensemble_model_N32_B84_E116_nb_zones_8_low_bits_6_svd,32,84,116,8, low_bits_6, svd,426,142,142,0,0,0,0.833167220376523,0.676056338028169,0.690140845070423,0.859154929577465,0.976303317535545,0.967136150234742,0.976525821596244,0.72289156626506,0.845070422535211,0.676056338028169,0.710526315789474,0.73972602739726,0.688703593408775,0.864864864864865,0.896358543417367,0.85894414422993
svm_model_N4_B48_E52_nb_zones_6_lab_svd,4,48,52,6, lab, svd,350,116,116,0,0,0,0.857142857142857,0.698275862068966,0.672413793103448,0.814432989690721,0.895522388059701,0.857142857142857,0.9,0.75177304964539,0.854838709677419,0.686678614097969,0.698412698412698,0.846153846153846,0.688701923076923,0.820598006644518,0.854671280276817,0.814707653790285
svm_model_N40_B160_E200_nb_zones_10_low_bits_6_svd,40,160,200,10, low_bits_6, svd,564,188,188,0,0,0,0.781954887218045,0.71875,0.6875,0.799773755656109,0.842911877394636,0.780141843971631,0.854609929078014,0.723926380368098,0.728395061728395,0.718627910611033,0.71264367816092,0.784810126582278,0.688701359587436,0.793946449359721,0.771493212669683,0.799773755656109
ensemble_model_N16_B42_E58_nb_zones_12_low_bits_4_svdne,16,42,58,12, low_bits_4, svdne,652,217,217,0,0,0,0.677902097902098,0.724137931034483,0.689655172413793,0.824660633484163,0.869172932330827,0.886503067484663,0.866564417177914,0.737704918032787,0.75,0.723214285714286,0.672727272727273,0.660714285714286,0.688690476190476,0.827201783723523,0.839366515837104,0.824660633484163
ensemble_model_v2_N16_B42_E58_nb_zones_8_low_bits_5_svd,16,42,58,8, low_bits_5, svd,444,148,148,0,0,0,0.678434343434344,0.608108108108108,0.689189189189189,0.822972972972973,0.938775510204082,0.932432432432432,0.939189189189189,0.632911392405063,0.684931506849315,0.609132420091324,0.671428571428571,0.681159420289855,0.688680975967712,0.822733423545331,0.835164835164835,0.823167523965396
svm_model_N16_B184_E200_nb_zones_4_low_bits_2_svd,16,184,200,4, low_bits_2, svd,204,68,68,0,0,0,0.700952380952381,0.602941176470588,0.705882352941176,0.726470588235294,0.774509803921569,0.774509803921569,0.774509803921569,0.64,0.631578947368421,0.599122807017544,0.761904761904762,0.761904761904762,0.688644688644689,0.743801652892562,0.741758241758242,0.725309500625956
