svm_model_N8_B0_E8_nb_zones_4_mscn_svd; 8; 0; 8; 4; mscn; svd; 168; 56; 56; 0.6; 0.2; 0.2; 0.7194852941176471; 0.5535714285714286; 0.5535714285714286; 0.8142857142857143; 0.9880952380952381; 0.9880952380952381; 0.9880952380952381; 0.7126436781609196; 1.0; 0.5; 0.7126436781609196; 1.0; 0.5; 0.847953216374269; 0.9931506849315068; 0.8062768350030669
svm_model_N4_B0_E4_nb_zones_4_mscn_svd; 4; 0; 4; 4; mscn; svd; 190; 63; 63; 0.6012658227848101; 0.19936708860759494; 0.19936708860759494; 0.5947368421052632; 0.5555555555555556; 0.4603174603174603; 0.7911392405063291; 0.978494623655914; 0.9578947368421052; 0.9789473684210526; 0.7142857142857143; 1.0; 0.5; 0.6304347826086957; 1.0; 0.5; 0.8244680851063829; 0.9748427672955975; 0.7899691543484357
svm_model_N16_B0_E16_nb_zones_4_mscn_svd; 16; 0; 16; 4; mscn; svd; 176; 58; 58; 0.6027397260273972; 0.19863013698630136; 0.19863013698630136; 0.592483660130719; 0.41379310344827586; 0.46551724137931033; 0.7705479452054794; 0.9886363636363636; 0.9886363636363636; 0.9886363636363638; 0.5853658536585366; 1.0; 0.5; 0.6352941176470588; 1.0; 0.5; 0.8046647230320699; 0.9928057553956835; 0.7807166031880378
svm_model_N32_B0_E32_nb_zones_4_mscn_svd; 32; 0; 32; 4; mscn; svd; 178; 59; 59; 0.6013513513513513; 0.19932432432432431; 0.19932432432432431; 0.6800653594771242; 0.5254237288135594; 0.4745762711864407; 0.8006756756756757; 1.0; 1.0; 1.0; 0.688888888888889; 1.0; 0.5; 0.6436781609195402; 1.0; 0.5; 0.8338028169014083; 1.0; 0.8006756756756757
svm_model_N26_B0_E26_nb_zones_4_mscn_svd; 26; 0; 26; 4; mscn; svd; 194; 64; 64; 0.6024844720496895; 0.19875776397515527; 0.19875776397515527; 0.6186842105263157; 0.4375; 0.53125; 0.7950310559006211; 1.0; 1.0; 1.0; 0.6086956521739131; 1.0; 0.5; 0.6938775510204082; 1.0; 0.5; 0.828125; 1.0; 0.7975460122699387
svm_model_N40_B0_E40_nb_zones_4_mscn_svd; 40; 0; 40; 4; mscn; svd; 198; 66; 66; 0.6; 0.2; 0.2; 0.7068421052631578; 0.5757575757575758; 0.5; 0.8151515151515152; 1.0; 1.0; 1.0; 0.7307692307692308; 1.0; 0.5; 0.6666666666666666; 1.0; 0.5; 0.8478802992518703; 1.0; 0.809375
ensemble_model_N8_B0_E8_nb_zones_4_mscn_svd; 8; 0; 8; 4; mscn; svd; 178; 59; 59; 0.6013513513513513; 0.19932432432432431; 0.19932432432432431; 0.6506535947712418; 0.4745762711864407; 0.576271186440678; 0.8040540540540541; 0.9887640449438202; 0.9887640449438202; 0.9887640449438202; 0.523076923076923; 0.4857142857142857; 0.4720238095238095; 0.6376811594202899; 0.7333333333333333; 0.5735632183908046; 0.814102564102564; 0.8246753246753247; 0.8031827327601976
ensemble_model_N4_B0_E4_nb_zones_4_mscn_svd; 4; 0; 4; 4; mscn; svd; 182; 60; 60; 0.6026490066225165; 0.1986754966887417; 0.1986754966887417; 0.697076023391813; 0.55; 0.5833333333333334; 0.8278145695364238; 1.0; 1.0; 1.0; 0.6197183098591549; 0.7586206896551724; 0.5567296996662959; 0.6268656716417911; 0.7241379310344828; 0.5878754171301446; 0.8375; 0.8993288590604027; 0.8287493968504628
ensemble_model_N16_B0_E16_nb_zones_4_mscn_svd; 16; 0; 16; 4; mscn; svd; 186; 62; 62; 0.6; 0.2; 0.2; 0.737719298245614; 0.5806451612903226; 0.4838709677419355; 0.8096774193548387; 0.9946524064171123; 1.0; 0.9946236559139785; 0.6904761904761905; 0.90625; 0.5697916666666667; 0.5555555555555557; 0.8; 0.5351351351351352; 0.8279883381924198; 0.9466666666666667; 0.8139583333333333
ensemble_model_N32_B0_E32_nb_zones_4_mscn_svd; 32; 0; 32; 4; mscn; svd; 186; 62; 62; 0.6; 0.2; 0.2; 0.7804093567251462; 0.3225806451612903; 0.5806451612903226; 0.7806451612903226; 1.0; 1.0; 1.0; 0.3; 0.47368421052631576; 0.3647490820073439; 0.675; 0.675; 0.5420454545454545; 0.7914110429447854; 0.8486842105263158; 0.7819370419720187
ensemble_model_N26_B0_E26_nb_zones_4_mscn_svd; 26; 0; 26; 4; mscn; svd; 178; 59; 59; 0.6013513513513513; 0.19932432432432431; 0.19932432432432431; 0.7905228758169934; 0.576271186440678; 0.4745762711864407; 0.8108108108108109; 1.0; 1.0; 1.0; 0.6753246753246753; 0.7428571428571429; 0.5380952380952382; 0.49180327868852464; 0.5555555555555556; 0.4809027777777778; 0.8227848101265823; 0.8609271523178808; 0.8097739209865266
ensemble_model_N40_B0_E40_nb_zones_4_mscn_svd; 40; 0; 40; 4; mscn; svd; 172; 57; 57; 0.6013986013986014; 0.1993006993006993; 0.1993006993006993; 0.8183006535947712; 0.5263157894736842; 0.543859649122807; 0.8146853146853147; 1.0; 1.0; 1.0; 0.5846153846153846; 0.5757575757575758; 0.5170454545454546; 0.6176470588235294; 0.6774193548387096; 0.531017369727047; 0.8262295081967214; 0.84; 0.8133823529411764
