data_file; ils_iteration; ls_iteration; best_solution; nb_filters; fitness (roc test);
data/ensemble_model_v2_N26_B0_E26_nb_zones_6_filters_statistics_svd_center;10000;20;[1 1 0 1 1 0 1 1 0 1 0 0 1];8;0.6952054794520548
data/ensemble_model_N26_B0_E26_nb_zones_6_filters_statistics_svdne_split;10000;20;[1 1 1 1 1 1 0 1 0 0 0 0 0];7;0.9514285714285715
data/ensemble_model_N26_B0_E26_nb_zones_4_filters_statistics_svdn_all;10000;20;[1 1 1 1 0 0 1 1 1 1 1 0 0];9;0.8685800604229607
data/svm_model_N26_B0_E26_nb_zones_6_filters_statistics_svd_split;10000;20;[1 1 1 1 0 0 1 0 0 0 1 1 1];8;0.9052631578947369
data/svm_model_N26_B0_E26_nb_zones_4_filters_statistics_svdn_all;10000;20;[0 1 1 0 1 0 1 1 0 1 0 1 0];7;0.8486238532110092
data/svm_model_N26_B0_E26_nb_zones_8_filters_statistics_svdne_center;10000;20;[1 0 1 1 0 1 0 1 1 1 0 1 0];8;0.7862903225806451
data/ensemble_model_N26_B0_E26_nb_zones_6_filters_statistics_svdn_split;10000;20;[1 0 1 0 1 0 1 0 0 1 1 0 0];6;0.9404761904761905
data/ensemble_model_v2_N26_B0_E26_nb_zones_4_filters_statistics_svdn_all;10000;20;[0 1 0 0 1 0 0 0 1 1 0 1 1];6;0.7738461538461539
data/svm_model_N26_B0_E26_nb_zones_8_filters_statistics_svdn_center;10000;20;[1 1 1 0 1 1 0 0 0 1 1 1 1];9;0.8247863247863249
data/ensemble_model_N26_B0_E26_nb_zones_8_filters_statistics_svdn_center;10000;20;[1 1 0 1 0 0 1 1 1 1 1 0 0];8;0.7692307692307692
data/ensemble_model_N26_B0_E26_nb_zones_8_filters_statistics_svdne_center;10000;20;[1 1 0 1 1 1 0 0 1 0 1 1 0];8;0.7627118644067797
data/ensemble_model_v2_N26_B0_E26_nb_zones_8_filters_statistics_svdn_center;10000;20;[1 1 1 0 1 1 0 1 0 0 0 0 1];7;0.7584745762711865
data/ensemble_model_N26_B0_E26_nb_zones_6_filters_statistics_svd_split;10000;20;[0 0 1 0 1 1 1 0 0 0 0 0 1];5;0.904494382022472
data/ensemble_model_v2_N26_B0_E26_nb_zones_4_filters_statistics_svd_all;10000;20;[1 1 1 1 0 1 1 0 0 0 1 0 1];8;0.8053892215568863
data/svm_model_N26_B0_E26_nb_zones_4_filters_statistics_svd_all;10000;20;[1 0 0 1 0 1 1 1 0 0 0 1 1];7;0.7891566265060241
data/ensemble_model_v2_N26_B0_E26_nb_zones_8_filters_statistics_svdne_split;10000;20;[0 0 1 0 1 0 0 1 0 1 1 1 1];7;0.8512658227848102
data/ensemble_model_v2_N26_B0_E26_nb_zones_8_filters_statistics_svdne_center;10000;20;[0 1 0 0 1 0 1 0 1 0 0 1 1];6;0.7478260869565219
data/ensemble_model_N26_B0_E26_nb_zones_4_filters_statistics_svd_all;10000;20;[1 1 0 1 1 1 0 1 0 1 1 0 1];9;0.8338368580060425
