model_name; vector_size; start; end; nb_zones; metric; mode; tran_size; val_size; test_size; train_pct_size; val_pct_size; test_pct_size; train_acc; val_acc; test_acc; all_acc; F1_train; recall_train; roc_auc_train; F1_val; recall_val; roc_auc_val; F1_test; recall_test; roc_auc_test; F1_all; recall_all; roc_auc_all;
deep_keras_N5_B0_E5_nb_zones_4_lab_svd_corr_L0_H0; 5; 0; 5; 4; lab; svd; 970; 323; 323; 0.6002475247524752; 0.1998762376237624; 0.1998762376237624; 0.6185567010309279; 0.5294117647058824; 0.5634674922600619; 0.5897277227722773; 0.6516007532956686; 0.7134020618556701; 0.6185567010309279; 0.5891891891891893; 0.68125; 0.5308090490797546; 0.6356589147286822; 0.7235294117647059; 0.5545751633986928; 0.6355140186915889; 0.7092024539877301; 0.5886836239976103
deep_keras_N5_B0_E5_nb_zones_4_lab_svdn_corr_L0_H0; 5; 0; 5; 4; lab; svdn; 978; 326; 326; 0.6; 0.2; 0.2; 0.7423312883435583; 0.7852760736196319; 0.8312883435582822; 0.7687116564417178; 0.7631578947368421; 0.8302658486707567; 0.7423312883435582; 0.7988505747126436; 0.9084967320261438; 0.7923986550304128; 0.8533333333333334; 0.9411764705882353; 0.8263574660633484; 0.7890318970341355; 0.8682266009852216; 0.7690766256759848
deep_keras_N5_B0_E5_nb_zones_4_lab_svdne_corr_L0_H0; 5; 0; 5; 4; lab; svdne; 838; 279; 279; 0.6002865329512894; 0.1998567335243553; 0.1998567335243553; 0.6312649164677804; 0.4946236559139785; 0.5053763440860215; 0.5787965616045845; 0.6637649619151251; 0.7279236276849642; 0.6312649164677804; 0.4758364312267658; 0.5039370078740157; 0.4953895565685868; 0.45669291338582685; 0.4233576642335766; 0.5039323532435489; 0.5922330097087378; 0.6251830161054173; 0.5797724337189079
deep_keras_N10_B0_E10_nb_zones_4_lab_svd_corr_L0_H0; 10; 0; 10; 4; lab; svd; 880; 293; 293; 0.6002728512960437; 0.19986357435197818; 0.19986357435197818; 0.5897727272727272; 0.47440273037542663; 0.5119453924914675; 0.5511596180081856; 0.5767878077373975; 0.5590909090909091; 0.5897727272727273; 0.38399999999999995; 0.32; 0.4781818181818182; 0.41632653061224484; 0.35172413793103446; 0.5103215284249767; 0.5118694362017805; 0.46938775510204084; 0.5513833440352885
deep_keras_N10_B0_E10_nb_zones_4_lab_svdn_corr_L0_H0; 10; 0; 10; 4; lab; svdn; 918; 306; 306; 0.6; 0.2; 0.2; 0.5; 0.48366013071895425; 0.4869281045751634; 0.49411764705882355; 0.6666666666666666; 1.0; 0.5; 0.6519823788546255; 1.0; 0.5; 0.654945054945055; 1.0; 0.5; 0.6614173228346457; 1.0; 0.5
deep_keras_N10_B0_E10_nb_zones_4_lab_svdne_corr_L0_H0; 10; 0; 10; 4; lab; svdne; 816; 272; 272; 0.6; 0.2; 0.2; 0.7365196078431373; 0.5477941176470589; 0.5882352941176471; 0.6691176470588235; 0.7281921618204805; 0.7058823529411765; 0.7365196078431372; 0.5494505494505494; 0.528169014084507; 0.5486998916576381; 0.5130434782608696; 0.5086206896551724; 0.5780282935455349; 0.6522411128284389; 0.6336336336336337; 0.6684018312260387
deep_keras_N15_B0_E15_nb_zones_4_lab_svd_corr_L0_H0; 15; 0; 15; 4; lab; svd; 894; 298; 298; 0.6; 0.2; 0.2; 0.7293064876957495; 0.5671140939597316; 0.5; 0.6510067114093959; 0.7436440677966101; 0.785234899328859; 0.7293064876957494; 0.5770491803278689; 0.567741935483871; 0.5670877509587188; 0.4377358490566038; 0.4233576642335766; 0.49428752776896223; 0.6565389696169088; 0.6725304465493911; 0.6511786720097156
deep_keras_N15_B0_E15_nb_zones_4_lab_svdn_corr_L0_H0; 15; 0; 15; 4; lab; svdn; 892; 297; 297; 0.6002691790040376; 0.19986541049798115; 0.19986541049798115; 0.8060538116591929; 0.6936026936026936; 0.67003367003367; 0.756393001345895; 0.7738562091503267; 0.6636771300448431; 0.8060538116591929; 0.6539923954372624; 0.6099290780141844; 0.6895799236224768; 0.6956521739130436; 0.6627218934911243; 0.6712046967455622; 0.7318518518518518; 0.6534391534391535; 0.7582264260346452
deep_keras_N15_B0_E15_nb_zones_4_lab_svdne_corr_L0_H0; 15; 0; 15; 4; lab; svdne; 890; 296; 296; 0.6005398110661269; 0.19973009446693657; 0.19973009446693657; 0.8067415730337079; 0.8006756756756757; 0.7972972972972973; 0.8036437246963563; 0.8377358490566038; 0.9977528089887641; 0.806741573033708; 0.8065573770491803; 0.8785714285714286; 0.8046703296703298; 0.8235294117647057; 0.9210526315789473; 0.7938596491228072; 0.829325513196481; 0.9592944369063772; 0.8044794332182892
deep_keras_N20_B0_E20_nb_zones_4_lab_svd_corr_L0_H0; 20; 0; 20; 4; lab; svd; 906; 302; 302; 0.6; 0.2; 0.2; 0.7240618101545254; 0.5231788079470199; 0.5463576158940397; 0.6483443708609271; 0.6786632390745501; 0.5827814569536424; 0.7240618101545253; 0.5068493150684932; 0.4277456647398844; 0.5394542277187794; 0.47509578544061304; 0.4217687074829932; 0.5431424182576257; 0.6010518407212623; 0.517464424320828; 0.6515408960138739
deep_keras_N20_B0_E20_nb_zones_4_lab_svdn_corr_L0_H0; 20; 0; 20; 4; lab; svdn; 896; 298; 298; 0.6005361930294906; 0.19973190348525469; 0.19973190348525469; 0.5; 0.5637583892617449; 0.4899328859060403; 0.5107238605898123; 0.0; 0.0; 0.5; 0.0; 0.0; 0.5; 0.0; 0.0; 0.5; 0.0; 0.0; 0.5
