model_name, vector_size, start, end, nb_zones, metric, mode, tran_size, val_size, test_size, train_pct_size, val_pct_size, test_pct_size, train_acc, val_acc, test_acc, all_acc, F1_train, recall_train, roc_auc_train, F1_val, recall_val, roc_auc_val, F1_test, recall_test, roc_auc_test, F1_all, recall_all, roc_auc_all
svm_model_N4_B196_E200_nb_zones_10_highest_sv_std_filters_svdne,4,196,200,10, highest_sv_std_filters, svdne,1498,499,499,0.600160256410256,0.199919871794872,0.199919871794872, [0.7        0.69333333 0.70666667 0.68666667 0.73489933],0.528473804100228,0.558086560364465,0.661616161616162,0.74314850223072,0.778371161548732,0.730974632843792,0.611632270168856,0.721238938053097,0.522591300012464,0.619607843137255,0.741784037558686,0.563369894885537,0.69218989280245,0.760942760942761,0.661616161616161
ensemble_model_N4_B196_E200_nb_zones_10_highest_sv_std_filters_svdne,4,196,200,10, highest_sv_std_filters, svdne,1520,506,506,0.600315955766193,0.199842022116904,0.199842022116904, [0.92105263 0.92763158 0.89144737 0.92105263 0.875     ],0.633177570093458,0.607476635514019,0.858164983164983,0.992084432717678,0.989473684210526,0.992105263157895,0.704331450094162,0.89047619047619,0.637898645696811,0.693430656934307,0.871559633027523,0.602446483180428,0.870134874759152,0.9503367003367,0.858164983164983
ensemble_model_v2_N4_B196_E200_nb_zones_10_highest_sv_std_filters_svdne,4,196,200, zones, highest_sv_std_filters, svdne,1528,509,509,0.600157109190888,0.199921445404556,0.199921445404556, [0.90849673 0.91830065 0.89869281 0.92156863 0.90131579],0.55188679245283,0.589622641509434,0.840488215488215,0.990151017728168,0.986910994764398,0.990183246073298,0.634615384615385,0.82089552238806,0.565156281373402,0.691489361702128,0.874439461883408,0.574035651339714,0.854622171077867,0.937710437710438,0.840488215488215
svm_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svd,4,196,200,12, highest_sv_std_filters, svd,1664,554,554,0.6002886002886,0.1998556998557,0.1998556998557, [0.89221557 0.91017964 0.90662651 0.90662651 0.9186747 ],0.570224719101124,0.601123595505618,0.871632996632997,0.993975903614458,0.991586538461538,0.993990384615385,0.679245283018868,0.936416184971098,0.580229950409046,0.705394190871369,0.92896174863388,0.591648504374743,0.883543337151584,0.973905723905724,0.871632996632997
ensemble_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svd,4,196,200,12, highest_sv_std_filters, svd,1820,606,606,0.600263852242744,0.199868073878628,0.199868073878628, [0.91483516 0.89010989 0.88186813 0.93681319 0.93956044],0.593525179856115,0.557553956834532,0.900252525252525,0.99945085118067,1,0.999450549450549,0.698666666666667,0.891156462585034,0.575349223658929,0.661157024793388,0.916030534351145,0.577062886223192,0.907385697538101,0.977272727272727,0.900252525252525
ensemble_model_v2_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svd,4,196,200, zones, highest_sv_std_filters, svd,1700,566,566,0.600282485875706,0.199858757062147,0.199858757062147, [0.92647059 0.87352941 0.93823529 0.92941176 0.91764706],0.624260355029586,0.606508875739645,0.888888888888889,0.997644287396938,0.996470588235294,0.997647058823529,0.702576112412178,0.842696629213483,0.611973314606742,0.661577608142494,0.8125,0.616924157303371,0.89515488482923,0.948653198653198,0.888888888888889
svm_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdn,4,196,200,12, highest_sv_std_filters, svdn,1854,618,618,0.6,0.2,0.2, [0.75537634 0.73924731 0.73783784 0.75675676 0.73783784],0.471264367816092,0.46360153256705,0.831649831649832,0.935924369747899,0.961165048543689,0.934196332254585,0.56875,0.669117647058823,0.462558823529412,0.530201342281879,0.632,0.470411764705882,0.841395717684377,0.893097643097643,0.831649831649832
ensemble_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdn,4,196,200,12, highest_sv_std_filters, svdn,1748,582,582,0.600274725274725,0.199862637362637,0.199862637362637, [0.78       0.76857143 0.79714286 0.78       0.7816092 ],0.598726114649682,0.554140127388535,0.886784511784512,0.998286693318104,1,0.998283752860412,0.627218934911243,0.670886075949367,0.598263550795196,0.556962025316456,0.564102564102564,0.554203180785459,0.888149688149688,0.898989898989899,0.886784511784512
ensemble_model_v2_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdn,4,196,200, zones, highest_sv_std_filters, svdn,1820,606,606,0.600263852242744,0.199868073878628,0.199868073878628, [0.77197802 0.79945055 0.81043956 0.76373626 0.78571429],0.47841726618705,0.474820143884892,0.864057239057239,0.982456140350877,0.984615384615385,0.982417582417582,0.564564564564565,0.657342657342657,0.473115773115773,0.560240963855422,0.688888888888889,0.480808080808081,0.870229007633588,0.911616161616161,0.864057239057239
svm_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdne,4,196,200,12, highest_sv_std_filters, svdne,1856,618,618,0.60025873221216,0.19987063389392,0.19987063389392, [0.72849462 0.69623656 0.71236559 0.71891892 0.65945946],0.573076923076923,0.534615384615385,0.695707070707071,0.724312184166199,0.695043103448276,0.735452586206896,0.577946768060837,0.589147286821705,0.573199597609326,0.550185873605948,0.564885496183206,0.534380732587727,0.687418936446174,0.669191919191919,0.695707070707071
ensemble_model_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdne,4,196,200,12, highest_sv_std_filters, svdne,1790,596,596,0.600268276324614,0.199865861837693,0.199865861837693, [0.90782123 0.92178771 0.91620112 0.90223464 0.92458101],0.655290102389079,0.665529010238908,0.911616161616161,0.993823694553622,0.988826815642458,0.993854748603352,0.685358255451713,0.780141843971631,0.659807764091079,0.713450292397661,0.802631578947369,0.660181037700635,0.914075286415712,0.94023569023569,0.911616161616161
ensemble_model_v2_N4_B196_E200_nb_zones_12_highest_sv_std_filters_svdne,4,196,200, zones, highest_sv_std_filters, svdne,1828,609,609,0.600131319763624,0.199934340118188,0.199934340118188, [0.94535519 0.90983607 0.91803279 0.90710383 0.92032967],0.609489051094891,0.594890510948905,0.900252525252525,0.989611809732094,0.990153172866521,0.989606126914661,0.705234159779614,0.901408450704225,0.598431498079385,0.676384839650146,0.878787878787879,0.604886897140418,0.906508875739645,0.967171717171717,0.900252525252525
svm_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svd,4,0,4,4, lowest_sv_std_filters, svd,558,186,186,0.6,0.2,0.2, [0.875      0.88392857 0.875      0.91964286 0.80909091],0.575268817204301,0.543010752688172,0.816129032258064,0.987522281639929,0.992831541218638,0.987455197132617,0.697318007662835,0.978494623655914,0.575268817204301,0.67680608365019,0.978021978021978,0.552168883747831,0.842396313364055,0.987041036717063,0.816860989450608
ensemble_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svd,4,0,4,4, lowest_sv_std_filters, svd,594,198,198,0.6,0.2,0.2, [0.94166667 0.94166667 0.89830508 0.88983051 0.91525424],0.565656565656566,0.570707070707071,0.825252525252525,0.996621621621622,0.993265993265993,0.996632996632997,0.681481481481481,0.968421052631579,0.581297904956566,0.688644688644689,0.979166666666667,0.582720588235294,0.847577092511013,0.985655737704918,0.827489223434132
ensemble_model_v2_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svd,4,0,4, zones, lowest_sv_std_filters, svd,632,210,210,0.600760456273764,0.199619771863118,0.199619771863118, [0.9296875  0.95238095 0.96825397 0.94444444 0.9047619 ],0.566666666666667,0.538095238095238,0.820342205323194,0.998420221169036,1,0.998417721518987,0.651340996168582,0.833333333333333,0.574074074074074,0.60082304526749,0.715686274509804,0.543028322440087,0.83377308707124,0.911538461538462,0.821370734528629
svm_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdn,4,0,4,4, lowest_sv_std_filters, svdn,528,176,176,0.6,0.2,0.2, [0.80188679 0.86792453 0.74528302 0.78301887 0.79807692],0.494318181818182,0.528409090909091,0.792045454545455,0.979439252336448,0.992424242424242,0.979166666666667,0.570048309178744,0.686046511627907,0.498578811369509,0.649789029535865,0.762376237623762,0.487854785478548,0.813074565883555,0.882483370288248,0.789726533628973
ensemble_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdn,4,0,4,4, lowest_sv_std_filters, svdn,488,162,162,0.600985221674877,0.199507389162562,0.199507389162562, [0.75510204 0.82653061 0.82653061 0.86734694 0.75      ],0.537037037037037,0.407407407407407,0.757389162561576,0.946938775510204,0.950819672131148,0.94672131147541,0.666666666666667,0.852272727272727,0.507217444717445,0.533980582524272,0.774647887323944,0.447763504101532,0.786102062975027,0.898263027295285,0.758422467192875
ensemble_model_v2_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdn,4,0,4, zones, lowest_sv_std_filters, svdn,566,188,188,0.600849256900212,0.199575371549894,0.199575371549894, [0.75438596 0.78947368 0.8245614  0.83035714 0.8125    ],0.50531914893617,0.531914893617021,0.789808917197452,0.970017636684303,0.971731448763251,0.969964664310954,0.563380281690141,0.697674418604651,0.520405836753306,0.572815533980582,0.670454545454545,0.540227272727273,0.799188640973631,0.862144420131291,0.791896952333687
svm_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdne,4,0,4,4, lowest_sv_std_filters, svdne,576,192,192,0.6,0.2,0.2, [0.76724138 0.67241379 0.67241379 0.74561404 0.77192982],0.557291666666667,0.53125,0.677083333333333,0.768439108061749,0.777777777777778,0.765625,0.540540540540541,0.531914893617021,0.556773773339123,0.545454545454545,0.574468085106383,0.532132001736865,0.679089026915114,0.689075630252101,0.677182443225224
ensemble_model_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdne,4,0,4,4, lowest_sv_std_filters, svdne,596,198,198,0.600806451612903,0.199596774193548,0.199596774193548, [0.9        0.95       0.98333333 0.93220339 0.94067797],0.681818181818182,0.626262626262626,0.859879032258064,0.996632996632997,0.993288590604027,0.996644295302013,0.740740740740741,0.833333333333333,0.666666666666667,0.701612903225806,0.805555555555556,0.608333333333333,0.871889400921659,0.920233463035019,0.857606271266464
ensemble_model_v2_N4_B0_E4_nb_zones_4_lowest_sv_std_filters_svdne,4,0,4, zones, lowest_sv_std_filters, svdne,660,220,220,0.6,0.2,0.2, [0.93939394 0.90909091 0.97727273 0.92424242 0.90151515],0.595454545454545,0.545454545454545,0.824545454545455,0.993957703927492,0.996969696969697,0.993939393939394,0.648221343873518,0.773584905660377,0.601704733531943,0.618320610687023,0.75,0.549107142857143,0.836023789294817,0.904411764705882,0.825407321201862
svm_model_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svd,4,0,4,6, lowest_sv_std_filters, svd,932,310,310,0.600515463917526,0.199742268041237,0.199742268041237, [0.94680851 0.91397849 0.89784946 0.91397849 0.94623656],0.519354838709677,0.558064516129032,0.815077319587629,0.998925886143931,0.997854077253219,0.998927038626609,0.666666666666667,0.967532467532468,0.522227772227772,0.704103671706264,0.964497041420118,0.517709513617861,0.844106463878327,0.984790874524715,0.812185738704035
ensemble_model_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svd,4,0,4,6, lowest_sv_std_filters, svd,928,309,309,0.60025873221216,0.19987063389392,0.19987063389392, [0.91397849 0.91935484 0.91397849 0.9516129  0.88043478],0.585760517799353,0.637540453074434,0.842820181112548,0.996777658431794,1,0.99676724137931,0.66839378238342,0.902097902097902,0.607675457073047,0.72,0.911392405063291,0.631192891273367,0.858474082702388,0.963398692810458,0.844055300310478
ensemble_model_v2_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svd,4,0,4, zones, lowest_sv_std_filters, svd,828,276,276,0.6,0.2,0.2, [0.92771084 0.91566265 0.89156627 0.93975904 0.94512195],0.58695652173913,0.576086956521739,0.831884057971014,0.998790810157195,0.997584541062802,0.998792270531401,0.662721893491124,0.848484848484848,0.597853535353535,0.668555240793201,0.836879432624114,0.570291568163909,0.847167325428195,0.935953420669578,0.832334574692653
svm_model_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svdn,4,0,4,6, lowest_sv_std_filters, svdn,964,321,321,0.600249066002491,0.199875466998755,0.199875466998755, [0.76804124 0.77319588 0.80208333 0.828125   0.78645833],0.46417445482866,0.526479750778816,0.766500622665006,0.945102260495156,0.910788381742739,0.947095435684647,0.532608695652174,0.601226993865031,0.462005901995807,0.591397849462366,0.654761904761905,0.520191409897292,0.775314559616537,0.795817958179582,0.766130921082225
ensemble_model_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svdn,4,0,4,6, lowest_sv_std_filters, svdn,830,276,276,0.600578871201158,0.199710564399421,0.199710564399421, [0.80120482 0.8313253  0.79518072 0.81325301 0.77710843],0.507246376811594,0.52536231884058,0.806078147612156,0.998796630565584,1,0.998795180722892,0.590361445783132,0.742424242424242,0.517045454545455,0.637119113573407,0.798611111111111,0.512941919191919,0.824146981627297,0.908827785817656,0.806078147612156
ensemble_model_v2_N4_B0_E4_nb_zones_6_lowest_sv_std_filters_svdn,4,0,4, zones, lowest_sv_std_filters, svdn,982,327,327,0.600244498777506,0.199877750611247,0.199877750611247, [0.76767677 0.76530612 0.78061224 0.76020408 0.80612245],0.44954128440367,0.470948012232416,0.776283618581907,0.986881937436932,0.995926680244399,0.986761710794297,0.523809523809524,0.603658536585366,0.449068532096364,0.541114058355438,0.645569620253165,0.476630963972736,0.790378006872852,0.848708487084871,0.776723623858353
